dataset,seed,_candidate_id,_coverage,_risk_coverage,_critical_coverage,_false_safe,_underwarning,_mean_width,_cwc,_winkler,_pinaw,_rmse,_mae,_r2,_literal_gate_pass,seed_from_folder,_dataset_key,_seed_key,_candidate_key,_stored_coverage,_stored_riskcov,_stored_false_safe,_stored_underwarning,_stored_width,_stored_rmse,_stored_mae,_stored_current_gate,dataset_row,seed_row,row_n,row_rmse,row_mae,row_r2,row_coverage,row_riskcov_y_le_025,row_critcov_y_le_010,row_urgent_n,row_critical_n,row_fsr050_interval_lower_only,row_fsr050_point_only,row_fsr050_point_or_lower,row_miss025_interval_lower_only,row_miss025_point_only,row_miss025_point_or_lower,row_under_all,row_under_urgent_only,row_under_critical_only,row_upper_all,row_width_mean,_row_metric_found,_row_base_coverage_risk,gate_current_literal_row_under,gate_current_literal_stored_under,gate_strict025_interval_stored_under,gate_strict025_interval_row_under,gate_strict025_interval_no_under,gate_gemini_combined025_row_under,gate_gemini_combined025_stored_under,_rank_width,_rank_rmse,_rank_mae,_selected_gate,_n_eligible_for_gate,_pass_primary_gate_recheck
IMS,295116898,HGB_HI_FEATURES_NO_ORDER__fixed_width_0.050,1.0,1.0,1.0,0.0,0.0,0.0494036643693084,,,,0.0012355614729207,0.0010400338632161,0.999981693264392,1,295116898,IMS,295116898,HGB_HI_FEATURES_NO_ORDER__fixed_width_0.050,1.0,1.0,0.0,0.0,0.0494036643693084,0.0012355614729207,0.0010400338632161,True,IMS,295116898,11620,0.0012355614729207,0.0010400338632161,0.999981693264392,1.0,1.0,1.0,2905,1164,0.0,0.0,0.0,0.0,0.002065404475043,0.002065404475043,0.0,0.0,0.0,0.0,0.0494036643693084,True,True,True,True,True,True,True,False,False,0.0494036643693084,0.0012355614729207,0.0010400338632161,gate_strict-interval_interval_row_under,38,True
IMS,297198838,TRAJECTORY_SIMILARITY__global_97,0.9825301204819276,0.9927710843373494,0.993127147766323,0.0,0.0,0.0346325772975076,,,,0.0097278773699229,0.0082159131855974,0.9988652025053056,1,297198838,IMS,297198838,TRAJECTORY_SIMILARITY__global_97,0.9825301204819276,0.9927710843373494,0.0,0.0,0.0346325772975076,0.0097278773699229,0.0082159131855974,True,IMS,297198838,11620,0.0097278773699229,0.0082159131855974,0.9988652025053056,0.9825301204819276,0.9927710843373494,0.993127147766323,2905,1164,0.0,0.0,0.0,0.0,0.0120481927710843,0.0120481927710843,0.0174698795180722,0.0072289156626506,0.0068728522336769,0.0,0.0346325772975076,True,True,True,True,True,True,True,False,False,0.0346325772975076,0.0097278773699229,0.0082159131855974,gate_strict-interval_interval_row_under,20,True
IMS,311146778,HGB_HI_FEATURES_NO_ORDER__global_99,0.9592082616179002,0.9283993115318416,0.8951890034364262,0.0,0.0085197934595524,0.0291877324507502,,,,0.0308199788076352,0.0081651903233399,0.9886093930697286,1,311146778,IMS,311146778,HGB_HI_FEATURES_NO_ORDER__global_99,0.9592082616179002,0.9283993115318416,0.0,0.0085197934595524,0.0291877324507502,0.0308199788076352,0.0081651903233399,True,IMS,311146778,11620,0.0308199788076352,0.0081651903233399,0.9886093930697286,0.9592082616179002,0.9283993115318416,0.8951890034364262,2905,1164,0.0,0.0,0.0,0.0,0.0877796901893287,0.0877796901893287,0.0224612736660929,0.0695352839931153,0.0996563573883161,0.0183304647160068,0.0291877324507502,True,True,True,True,True,True,True,False,False,0.0291877324507502,0.0308199788076352,0.0081651903233399,gate_strict-interval_interval_row_under,27,True
IMS,317292094,TRAJECTORY_SIMILARITY__repair_twosided_guard_l97_u90_b12,0.9343373493975904,0.970051635111876,0.9768041237113402,0.0,0.0,0.0369709305128281,,,,0.0134906746166537,0.0108227930991767,0.9978175237362344,1,317292094,IMS,317292094,TRAJECTORY_SIMILARITY__repair_twosided_guard_l97_u90_b12,0.9343373493975904,0.970051635111876,0.0,0.0,0.0369709305128281,0.0134906746166537,0.0108227930991767,True,IMS,317292094,11620,0.0134906746166537,0.0108227930991767,0.9978175237362344,0.9343373493975904,0.970051635111876,0.9768041237113402,2905,1164,0.0,0.0,0.0,0.0,0.0024096385542168,0.0024096385542168,0.0197074010327022,0.0,0.0,0.0459552495697074,0.0369709305128281,True,True,True,True,True,True,True,False,False,0.0369709305128281,0.0134906746166537,0.0108227930991767,gate_strict-interval_interval_row_under,25,True
IMS,335892210,TRAJECTORY_SIMILARITY__global_95,0.9699655765920826,0.9865748709122204,0.9879725085910652,0.0,0.0,0.0346678873238385,,,,0.0102168512995028,0.0087498534289856,0.998748253634998,1,335892210,IMS,335892210,TRAJECTORY_SIMILARITY__global_95,0.9699655765920826,0.9865748709122204,0.0,0.0,0.0346678873238385,0.0102168512995028,0.0087498534289856,True,IMS,335892210,11620,0.0102168512995028,0.0087498534289856,0.998748253634998,0.9699655765920826,0.9865748709122204,0.9879725085910652,2905,1164,0.0,0.0,0.0,0.0,0.0117039586919105,0.0117039586919105,0.0300344234079173,0.0134251290877796,0.0120274914089347,0.0,0.0346678873238385,True,True,True,True,True,True,True,False,False,0.0346678873238385,0.0102168512995028,0.0087498534289856,gate_strict-interval_interval_row_under,22,True
IMS,336287993,HGB_HI_FEATURES_NO_ORDER__global_97,0.9560240963855422,0.9005163511187607,0.884020618556701,0.0,0.0085197934595524,0.0285268212663945,,,,0.0386167923453373,0.010284891530257,0.9821172383739344,1,336287993,IMS,336287993,HGB_HI_FEATURES_NO_ORDER__global_97,0.9560240963855422,0.9005163511187607,0.0,0.0085197934595524,0.0285268212663945,0.0386167923453373,0.010284891530257,True,IMS,336287993,11620,0.0386167923453373,0.010284891530257,0.9821172383739344,0.9560240963855422,0.9005163511187607,0.884020618556701,2905,1164,0.0,0.0,0.0,0.0,0.085025817555938,0.085025817555938,0.0291738382099827,0.0967297762478485,0.1151202749140893,0.014802065404475,0.0285268212663945,True,True,True,True,True,True,True,False,False,0.0285268212663945,0.0386167923453373,0.010284891530257,gate_strict-interval_interval_row_under,26,True
IMS,348575192,TRAJECTORY_SIMILARITY__fixed_width_0.100,1.0,1.0,1.0,0.0,0.0,0.0981878282177126,,,,0.0198724810766791,0.0162463542600738,0.9952642760600012,1,348575192,IMS,348575192,TRAJECTORY_SIMILARITY__fixed_width_0.100,1.0,1.0,0.0,0.0,0.0981878282177126,0.0198724810766791,0.0162463542600738,True,IMS,348575192,11620,0.0198724810766791,0.0162463542600738,0.9952642760600012,1.0,1.0,1.0,2905,1164,0.0,0.0,0.0,0.0,0.0833046471600688,0.0833046471600688,0.0,0.0,0.0,0.0,0.0981878282177126,True,True,True,True,True,True,True,False,False,0.0981878282177126,0.0198724810766791,0.0162463542600738,gate_strict-interval_interval_row_under,12,True
IMS,425792870,HGB_HI_FEATURES_NO_ORDER__global_97,0.960843373493976,0.9218588640275388,0.8874570446735395,0.0,0.0082616179001721,0.0292020364503146,,,,0.0312701482524907,0.0084130403799113,0.9882742110168964,1,425792870,IMS,425792870,HGB_HI_FEATURES_NO_ORDER__global_97,0.960843373493976,0.9218588640275388,0.0,0.0082616179001721,0.0292020364503146,0.0312701482524907,0.0084130403799113,True,IMS,425792870,11620,0.0312701482524907,0.0084130403799113,0.9882742110168964,0.960843373493976,0.9218588640275388,0.8874570446735395,2905,1164,0.0,0.0,0.0,0.0,0.0898450946643717,0.0898450946643717,0.0299483648881239,0.0760757314974182,0.1116838487972508,0.0092082616179001,0.0292020364503146,True,True,True,True,True,True,True,False,False,0.0292020364503146,0.0312701482524907,0.0084130403799113,gate_strict-interval_interval_row_under,28,True
IMS,455800391,HGB_HI_FEATURES_NO_ORDER__global_95,0.9431153184165232,0.9387263339070568,0.9579037800687286,0.0,0.0,0.0044811081803941,,,,0.0012814629186072,0.0010713170277095,0.9999803077980424,1,455800391,IMS,455800391,HGB_HI_FEATURES_NO_ORDER__global_95,0.9431153184165232,0.9387263339070568,0.0,0.0,0.0044811081803941,0.0012814629186072,0.0010713170277095,True,IMS,455800391,11620,0.0012814629186072,0.0010713170277095,0.9999803077980424,0.9431153184165232,0.9387263339070568,0.9579037800687286,2905,1164,0.0,0.0,0.0,0.0,0.0044750430292598,0.0044750430292598,0.0305507745266781,0.0430292598967297,0.0343642611683848,0.0263339070567986,0.0044811081803941,True,True,True,True,True,True,True,False,False,0.0044811081803941,0.0012814629186072,0.0010713170277095,gate_strict-interval_interval_row_under,41,True
IMS,471359438,HGB_HI_FEATURES_NO_ORDER__global_95,0.9462994836488812,0.9428571428571428,0.9192439862542956,0.0,0.0,0.0042203345755236,,,,0.0012205686329048,0.0010330678749152,0.9999821348526016,1,471359438,IMS,471359438,HGB_HI_FEATURES_NO_ORDER__global_95,0.9462994836488812,0.9428571428571428,0.0,0.0,0.0042203345755236,0.0012205686329048,0.0010330678749152,True,IMS,471359438,11620,0.0012205686329048,0.0010330678749152,0.9999821348526016,0.9462994836488812,0.9428571428571428,0.9192439862542956,2905,1164,0.0,0.0,0.0,0.0,0.0003442340791738,0.0003442340791738,0.022289156626506,0.0444061962134251,0.063573883161512,0.0314113597246127,0.0042203345755236,True,True,True,True,True,True,True,False,False,0.0042203345755236,0.0012205686329048,0.0010330678749152,gate_strict-interval_interval_row_under,30,True
IMS,471526420,HGB_HI_FEATURES_NO_ORDER__global_95,0.946471600688468,0.919449225473322,0.8805841924398625,0.0,0.0038726333907056,0.0253007729762852,,,,0.0264953464906758,0.0074015181205617,0.9915817581113976,1,471526420,IMS,471526420,HGB_HI_FEATURES_NO_ORDER__global_95,0.946471600688468,0.919449225473322,0.0,0.0038726333907056,0.0253007729762852,0.0264953464906758,0.0074015181205617,True,IMS,471526420,11620,0.0264953464906758,0.0074015181205617,0.9915817581113976,0.946471600688468,0.919449225473322,0.8805841924398625,2905,1164,0.0,0.0,0.0,0.0,0.0574870912220309,0.0574870912220309,0.0315834767641996,0.0771084337349397,0.1134020618556701,0.0219449225473321,0.0253007729762852,True,True,True,True,True,True,True,False,False,0.0253007729762852,0.0264953464906758,0.0074015181205617,gate_strict-interval_interval_row_under,29,True
IMS,522275327,TRAJECTORY_SIMILARITY__repair_twosided_guard_l97_u90_b12,0.9432874354561102,0.970051635111876,0.9768041237113402,0.0,0.0,0.0390010836217879,,,,0.0098683312191147,0.0083169103155429,0.998832196885463,1,522275327,IMS,522275327,TRAJECTORY_SIMILARITY__repair_twosided_guard_l97_u90_b12,0.9432874354561102,0.970051635111876,0.0,0.0,0.0390010836217879,0.0098683312191147,0.0083169103155429,True,IMS,522275327,11620,0.0098683312191147,0.0083169103155429,0.998832196885463,0.9432874354561102,0.970051635111876,0.9768041237113402,2905,1164,0.0,0.0,0.0,0.0,0.0065404475043029,0.0065404475043029,0.0138554216867469,0.0,0.0,0.0428571428571428,0.0390010836217879,True,True,True,True,True,True,True,False,False,0.0390010836217879,0.0098683312191147,0.0083169103155429,gate_strict-interval_interval_row_under,25,True
IMS,534419014,HGB_HI_FEATURES_NO_ORDER__global_97,0.9632530120481928,0.9714285714285714,0.9561855670103092,0.0,0.0,0.0848543933601049,,,,0.0414862265972824,0.0106735052737294,0.9793609328455926,1,534419014,IMS,534419014,HGB_HI_FEATURES_NO_ORDER__global_97,0.9632530120481928,0.9714285714285714,0.0,0.0,0.0848543933601049,0.0414862265972824,0.0106735052737294,True,IMS,534419014,11620,0.0414862265972825,0.0106735052737294,0.9793609328455926,0.9632530120481928,0.9714285714285714,0.9561855670103092,2905,1164,0.0,0.0003442340791738,0.0003442340791738,0.0,0.0034423407917383,0.0034423407917383,0.026419965576592,0.0278829604130808,0.0438144329896907,0.0103270223752151,0.0848543933601049,True,True,True,True,True,True,True,False,False,0.0848543933601049,0.0414862265972825,0.0106735052737294,gate_strict-interval_interval_row_under,21,True
IMS,535174266,TRAJECTORY_SIMILARITY__global_97,0.9825301204819276,0.9927710843373494,0.993127147766323,0.0,0.0,0.0346325772975076,,,,0.0097278773699229,0.0082159131855974,0.9988652025053056,1,535174266,IMS,535174266,TRAJECTORY_SIMILARITY__global_97,0.9825301204819276,0.9927710843373494,0.0,0.0,0.0346325772975076,0.0097278773699229,0.0082159131855974,True,IMS,535174266,11620,0.0097278773699229,0.0082159131855974,0.9988652025053056,0.9825301204819276,0.9927710843373494,0.993127147766323,2905,1164,0.0,0.0,0.0,0.0,0.0120481927710843,0.0120481927710843,0.0174698795180722,0.0072289156626506,0.0068728522336769,0.0,0.0346325772975076,True,True,True,True,True,True,True,False,False,0.0346325772975076,0.0097278773699229,0.0082159131855974,gate_strict-interval_interval_row_under,20,True
IMS,536750530,HGB_HI_FEATURES_NO_ORDER__global_97,0.949655765920826,0.914629948364888,0.8676975945017182,0.0,0.0074870912220309,0.0322423780713935,,,,0.0342414634276415,0.0091002689132528,0.9859399511743892,1,536750530,IMS,536750530,HGB_HI_FEATURES_NO_ORDER__global_97,0.949655765920826,0.914629948364888,0.0,0.0074870912220309,0.0322423780713935,0.0342414634276415,0.0091002689132528,True,IMS,536750530,11620,0.0342414634276415,0.0091002689132528,0.9859399511743892,0.949655765920826,0.914629948364888,0.8676975945017182,2905,1164,0.0,0.0,0.0,0.0,0.0877796901893287,0.0877796901893287,0.0290877796901893,0.0836488812392426,0.1314432989690721,0.0212564543889845,0.0322423780713935,True,True,True,True,True,True,True,False,False,0.0322423780713935,0.0342414634276415,0.0091002689132528,gate_strict-interval_interval_row_under,20,True
NASA Battery,14981229,capacity__global_minmax_health__safe_measurements_allow_cycle__BAYESIAN_RIDGE__fixed_width_0.10,0.9378585086042064,0.9390243902439024,0.9245283018867924,0.0,0.0009560229445506,0.0964260447525642,,,,0.0583864395380218,0.0250875741949807,0.85434795090669,1,14981229,NASA Battery,14981229,capacity__global_minmax_health__safe_measurements_allow_cycle__BAYESIAN_RIDGE__fixed_width_0.10,0.9378585086042064,0.9390243902439024,0.0,0.0009560229445506,0.0964260447525642,0.0583864395380218,0.0250875741949807,True,NASA Battery,14981229,1046,0.0583864395380218,0.0250875741949807,0.8543479509066899,0.9378585086042064,0.9390243902439024,0.9245283018867924,82,53,0.0,0.0,0.0,0.0,0.3048780487804878,0.3048780487804878,0.0353728489483747,0.048780487804878,0.0754716981132075,0.0267686424474187,0.0964260447525642,True,True,True,True,True,True,True,False,False,0.0964260447525642,0.0583864395380218,0.0250875741949807,gate_strict-interval_interval_row_under,305,True
NASA Battery,21187033,capacity__global_minmax_health__safe_measurements_allow_cycle__HGB__fixed_width_0.20,0.9950248756218906,1.0,1.0,0.0,0.0,0.1991741061325215,,,,0.0273870466763169,0.0158579330528839,0.9497462379974516,1,21187033,NASA Battery,21187033,capacity__global_minmax_health__safe_measurements_allow_cycle__HGB__fixed_width_0.20,0.9950248756218906,1.0,0.0,0.0,0.1991741061325215,0.0273870466763169,0.0158579330528839,True,NASA Battery,21187033,804,0.0273870466763169,0.0158579330528839,0.9497462379974516,0.9950248756218906,1.0,1.0,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049751243781094,0.1991741061325216,True,True,True,True,True,True,True,True,True,0.1991741061325216,0.0273870466763169,0.0158579330528839,gate_strict-interval_interval_row_under,43,True
NASA Battery,91738819,capacity__global_minmax_health__safe_measurements_allow_cycle__STACK_RIDGE__global_90,0.9150259067357512,0.9029126213592232,0.9175257731958762,0.0,0.0072538860103626,0.1045392634914132,,,,0.0290259689210338,0.019994352459309,0.9746823936095168,1,91738819,NASA Battery,91738819,capacity__global_minmax_health__safe_measurements_allow_cycle__STACK_RIDGE__global_90,0.9150259067357512,0.9029126213592232,0.0,0.0072538860103626,0.1045392634914132,0.0290259689210338,0.019994352459309,True,NASA Battery,91738819,965,0.0290259689210338,0.019994352459309,0.9746823936095168,0.9150259067357512,0.9029126213592232,0.9175257731958762,103,97,0.0,0.0,0.0,0.0,0.0194174757281553,0.0194174757281553,0.0134715025906735,0.0970873786407767,0.0824742268041237,0.0715025906735751,0.1045392634914132,True,True,True,True,True,True,True,False,False,0.1045392634914132,0.0290259689210338,0.019994352459309,gate_strict-interval_interval_row_under,153,True
NASA Battery,104007873,capacity__global_minmax_health__safe_measurements_no_cycle__HGB__fixed_width_0.10,0.9926315789473684,0.96,0.96,0.0,0.0,0.0983186559363292,,,,0.0198823848028101,0.0128586362520048,0.9828163357018428,1,104007873,NASA Battery,104007873,capacity__global_minmax_health__safe_measurements_no_cycle__HGB__fixed_width_0.10,0.9926315789473684,0.96,0.0,0.0,0.0983186559363292,0.0198823848028101,0.0128586362520048,True,NASA Battery,104007873,950,0.0198823848028101,0.0128586362520048,0.9828163357018428,0.9926315789473684,0.96,0.96,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0021052631578947,0.04,0.04,0.0052631578947368,0.0983186559363292,True,True,True,True,True,True,True,True,True,0.0983186559363292,0.0198823848028101,0.0128586362520048,gate_strict-interval_interval_row_under,174,True
NASA Battery,123623561,capacity__global_minmax_health__safe_measurements_allow_cycle__KERNELRIDGE_RBF__twosided_l97_u90,0.9516806722689076,0.9797297297297296,0.9861111111111112,0.0,0.0010504201680672,0.1668989910684335,,,,0.0709887889971253,0.0428564975343175,0.8842723379778105,1,123623561,NASA Battery,123623561,capacity__global_minmax_health__safe_measurements_allow_cycle__KERNELRIDGE_RBF__twosided_l97_u90,0.9516806722689076,0.9797297297297296,0.0,0.0010504201680672,0.1668989910684335,0.0709887889971253,0.0428564975343175,True,NASA Battery,123623561,952,0.0709887889971253,0.0428564975343175,0.8842723379778106,0.9516806722689076,0.9797297297297296,0.9861111111111112,148,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0157563025210084,0.0135135135135135,0.0138888888888888,0.032563025210084,0.1668989910684335,True,True,True,True,True,True,True,True,True,0.1668989910684335,0.0709887889971253,0.0428564975343175,gate_strict-interval_interval_row_under,81,True
